epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2042.35,0.65462,0.5614,0.99272,0.84477,0.85396,0.89335,0.78273,0.58165,0.62951,1.04351,0.0010892,0.0010892,0.0010892
94,2064.25,0.6423,0.54238,0.9793,0.87449,0.85149,0.90966,0.80359,0.56876,0.5785,1.04834,0.0010793,0.0010793,0.0010793
95,2086.16,0.67167,0.59137,1.00402,0.89468,0.84106,0.91503,0.80254,0.58315,0.57054,1.05596,0.0010694,0.0010694,0.0010694
96,2108.11,0.65488,0.56214,0.99872,0.92042,0.81683,0.91196,0.79334,0.58352,0.58838,1.05267,0.0010595,0.0010595,0.0010595
97,2130.07,0.63705,0.53375,0.98099,0.88789,0.84653,0.92262,0.8134,0.56862,0.58509,1.05069,0.0010496,0.0010496,0.0010496
98,2151.99,0.65167,0.54124,0.98992,0.86866,0.86768,0.91432,0.80961,0.55077,0.55845,1.0241,0.0010397,0.0010397,0.0010397
99,2173.99,0.64791,0.53385,0.98317,0.91545,0.82426,0.90836,0.8009,0.58764,0.5957,1.05804,0.0010298,0.0010298,0.0010298
100,2195.89,0.62344,0.53376,0.97792,0.85504,0.86142,0.90796,0.79778,0.57636,0.56562,1.05707,0.0010199,0.0010199,0.0010199
101,2217.78,0.62814,0.53141,0.97274,0.85766,0.85011,0.90059,0.78934,0.58338,0.6109,1.05743,0.00101,0.00101,0.00101
102,2239.58,0.63455,0.52931,0.97607,0.88533,0.82179,0.89388,0.78435,0.57561,0.63662,1.0462,0.0010001,0.0010001,0.0010001
103,2261.45,0.62882,0.52252,0.9775,0.8817,0.85149,0.90728,0.79441,0.58711,0.59936,1.06606,0.0009902,0.0009902,0.0009902
104,2283.35,0.63235,0.52479,0.98084,0.88905,0.85644,0.92605,0.81504,0.58453,0.55211,1.05094,0.0009803,0.0009803,0.0009803
105,2305.28,0.63484,0.52462,0.98229,0.92629,0.82178,0.91789,0.80847,0.58264,0.5828,1.05762,0.0009704,0.0009704,0.0009704
106,2327.17,0.62545,0.51097,0.97634,0.87707,0.86536,0.91767,0.80894,0.57773,0.56429,1.05268,0.0009605,0.0009605,0.0009605
107,2348.99,0.62191,0.50981,0.97358,0.84152,0.88064,0.90896,0.80405,0.57366,0.58118,1.04182,0.0009506,0.0009506,0.0009506
108,2370.91,0.61553,0.51428,0.97039,0.87206,0.84158,0.90667,0.79896,0.5575,0.58227,1.03633,0.0009407,0.0009407,0.0009407
109,2392.75,0.60997,0.50375,0.97861,0.87664,0.85644,0.90009,0.788,0.5674,0.59551,1.03847,0.0009308,0.0009308,0.0009308
